timestamp,Cores,RealAllocatedCores,SystemRealUtilization,SystemUtilization,AllocatedCores,ExceededCores,Decision,CooldownUp,CooldownDown
1652019300,235.31932405594137,448,52.52663483391549,33.23719266326856,708,0,0,2,0
1652019360,226.4051961268206,448,50.53687413545103,31.27143592911887,724,0,0,4,0
1652019420,226.05853824230402,448,50.459495143371434,29.901923047923813,756,0,0,4,0
1652019480,225.60440517991367,448,50.35812615623073,27.92133727474179,808,0,0,4,0
1652019540,232.05266859349203,448,51.79747066819018,28.719389677412384,808,0,0,3,0
1652019600,222.58786829106344,448,49.684792029255235,26.125336653880687,852,0,0,4,0
1652019660,229.0905342912733,448,51.136279975730645,26.638434219915496,860,0,0,4,0
1652019720,214.66706615778625,448,47.91675583879157,24.961286762533284,860,0,0,3,0
1652019780,208.6039432639703,464,44.95774639309705,24.256272472554688,860,0,0,2,0
1652019840,214.66609541832963,496,43.279454721437425,24.961173885852283,860,0,0,1,0
1652019900,228.71146881774192,496,46.11118322938345,26.594356839272315,860,0,-348,0,0
1652019960,208.57104793038974,496,42.05061450209471,40.73653279890424,512,0,0,0,6
1652020020,212.05356471550834,496,42.75273482167507,41.41671185849772,512,0,0,0,5
1652020080,202.66621798309788,496,40.86012459336651,39.583245699823806,512,0,0,0,4
1652020140,192.42361524641257,480,40.088253176335954,37.58273735281495,512,0,0,0,3
1652020200,204.806329275627,496,41.29159864427964,40.0012361866459,512,0,0,0,2
1652020260,220.838693946212,496,44.52393023109113,43.13255741136953,512,0,0,0,1
1652020320,225.35373184060856,496,45.43422012915495,44.01440075011886,512,0,0,0,0
1652020380,225.90323073223112,496,45.545006196014334,44.12172475238889,512,0,0,0,0
1652020440,258.53097013394665,496,52.12317946248925,50.494330104286455,512,0,64,0,0
1652020500,212.97028303306055,496,42.93755706311705,41.59575840489464,512,0,0,0,0
1652020560,207.7904865807792,496,41.89324326225387,40.58407941030844,512,0,0,0,0
